Nr,Cipars,Reizes
1,1,9
2,2,5
3,3,6
4,4,6
5,5,6
6,6,5
7,7,4
8,8,2
9,9,6
10,10,7
11,11,5
12,12,5
13,13,6
14,14,7
15,15,6
16,16,6
17,17,9
18,18,4
19,19,7
20,20,8
21,21,7
22,22,6
23,23,9
24,24,8
2525,9
26,26,5
27,27,7
28,28,7
29,29,4
30,30,5
31,31,8
32,32,5
33,33,5
34,34,4
35,35,6
36,36,5
37,37,6
38,38,7
39,39,9
40,40,6
41,41,6
42,42,8
43,43,6
44,44,7
45,45,5
46,46,7
47,47,6
48,48,5
49,49,9
50,50,7
51,51,4
52,52,7
53,53,9
54,54,5
55,55,10
56,56,7
57,57,8
58,58,6
59,59,8
60,60,6
61,61,4
62,62,4
63,63,5
64,64,6
65,65,9
66,66,3
67,67,5
68,68,6
69,69,8
70,70,6
71,71,8
72,72,5
73,73,6
74,74,4
75,75,5
